county,opioid_spending,population,opioid_spending_per_capita
MOORE,1957723.74,6302.0,310.65
JACKSON,3137499.57,11573.0,271.11
TROUSDALE,1352207.35,8773.0,154.13
OVERTON,3270860.27,21995.0,148.71
PICKETT,697548.14,5071.0,137.56
CARROLL,2984279.21,28137.0,106.06
VAN BUREN,578980.94,5675.0,102.02
WEAKLEY,3294437.9,33776.0,97.54
SMITH,1743798.96,19279.0,90.45
FRANKLIN,3129014.18,41397.0,75.59
